Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Fortnight (feat. Post Malone),THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,USUG12401028,17,297.6,395433400.0,12784.0,177932568.0,89.0,104673836.0,2484083.0,139300.0,25348800.0,207317000.0,"268,893,710",221.0,129968.0,3,99.0,37988531.0,134.0,9961769.0,13437.0,377734.0,1210029.0,,0
greedy,greedy,Tate McRae,2023-09-14,USRC12301932,18,293.7,1258569694.0,105218.0,198845580.0,87.0,141646818.0,1514837.0,2294429.0,419319161.0,5456156211.0,"2,667,285,437",207.0,667329.0,"3,310",188.0,21788568.0,150.0,44850379.0,12270.0,,6973652.0,,1
BLUE,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401996,19,292.6,91272461.0,6499.0,52287548.0,86.0,16038053.0,569377.0,941900.0,119740900.0,1225345800.0,"5,839,168",76.0,181.0,1,24.0,5054005.0,33.0,283089.0,162.0,975891.0,257661.0,,0
As It Was,As It Was,Harry Styles,2022-03-31,USSM12200612,20,292.0,3301814535.0,407119.0,169783402.0,87.0,800899315.0,9101589.0,2755903.0,1633970617.0,15405881843.0,"7,289,707,052",455.0,1777811.0,"4,909",330.0,12907852.0,189.0,132624772.0,79909.0,,14967379.0,,0
Paint The Town Red,Paint The Town Red,Doja Cat,2023-08-04,USRC12300907,21,290.5,1065399331.0,170890.0,121712197.0,78.0,240970670.0,2749668.0,3091732.0,652428798.0,7095564106.0,"1,063,591,802",158.0,400899.0,273,143.0,13718632.0,146.0,70291476.0,49111.0,,7559816.0,,1
Espresso,Espresso,Sabrina Carpenter,2024-04-12,USUM72403305,22,281.5,547882871.0,24425.0,262343414.0,95.0,107550212.0,1825761.0,209200.0,169144295.0,1379499000.0,"422,646,034",298.0,37208.0,236,167.0,41414565.0,149.0,10362898.0,10848.0,1551157.0,1373085.0,,1
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,2024-05-21,TCJPA2445163,23,279.0,1655575417.0,10.0,655.0,,,,,,,,,,,,,,,,,,,1
TEXAS HOLD 'EM,TEXAS HOLD 'EM,Beyoncï¿,2024-02-10,USSM12401302,24,278.9,426700979.0,34044.0,152928632.0,86.0,35724356.0,437980.0,1470500.0,485200392.0,6518604175.0,"1,213,175,656",159.0,309497.0,257,194.0,40725482.0,177.0,13860535.0,36282.0,,2100708.0,,1
Future,Future,official sound studio,2024-01-10,RUA1H2415548,25,277.5,,1.0,2.0,,,,9453333.0,273236305.0,4306269694.0,,,,,,,,,,,,,0
Beat Automotivo Tan Tan Tan Viral,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,BXWEH2200054,26,268.1,7382759.0,3504.0,661084.0,35.0,4233958.0,69990.0,37621885.0,1636811753.0,22918660728.0,,1.0,,439,1.0,6.0,1.0,,,,633525.0,,0
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,USSM12103949,27,266.3,3107100349.0,451732.0,134793519.0,78.0,1256973582.0,14661425.0,7485966.0,2246991336.0,23712377029.0,"4,327,058,646",513.0,1510151.0,"4,096",166.0,5783693.0,128.0,196783487.0,124922.0,36341585.0,,,1
Baby Shark,ýýýýýýýýý ýýýýýý ýýýýýýýýýýýý,Pinkfong,2015-12-01,KRE671700001,28,265.7,720822868.0,60945.0,7530769.0,71.0,16322756555.0,48757673.0,7743800.0,281762094.0,6577639193.0,"2,166,611",33.0,284.0,142,19.0,52179.0,17.0,86458847.0,2234137.0,,2064420.0,,0
we can't be friends (wait for your love),eternal sunshine,Ariana Grande,2024-03-08,USUM72317276,29,262.8,591068364.0,26203.0,197494995.0,87.0,156882014.0,3080503.0,,,,"578,568,464",194.0,200230.0,32,117.0,22062193.0,126.0,10106573.0,7689.0,1612479.0,1579980.0,,0
Numb / Encore,Papercuts,JAY-Z,2024-04-12,USWB12400678,30,256.0,1003215671.0,128.0,485454.0,,,,,,,,,,,,,,179867721.0,87209.0,,4474248.0,,1
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,LOVE BGM JPN,2024-05-14,TCJPA2406007,31,249.8,1645079292.0,,,,,,,,,,,,,,,,,,,,,1
SHEESH,BABYMONS7ER,BABYMONSTER,2024-04-01,KRA402400016,32,237.5,124893397.0,3479.0,25936342.0,82.0,359896095.0,4907193.0,212500.0,48327004.0,390081328.0,"38,798,822",36.0,2188.0,32,3.0,347997.0,26.0,130743.0,592.0,265670.0,191867.0,,0
Water,Water,Tyla,2023-07-28,USSM12305126,33,234.6,670376179.0,98450.0,150471020.0,83.0,265180930.0,2566846.0,2114363.0,369150956.0,3932956380.0,"3,031,114,430",225.0,486952.0,"1,215",180.0,19469488.0,188.0,40418532.0,27555.0,6049784.0,6447136.0,,0
Strangers,Strangers,Kenya Grace,2023-09-01,USWB12305048,34,233.5,750154960.0,139141.0,103879363.0,79.0,118208096.0,1495758.0,1031447.0,196985853.0,2231749390.0,"1,745,168,821",163.0,378114.0,856,113.0,16295286.0,112.0,20228317.0,5331.0,10938075.0,7477917.0,,0
Too Sweet,Unreal Unearth: Unheard,Hozier,2024-03-22,USSM12401865,35,231.6,532012790.0,23557.0,67488850.0,,62123098.0,923733.0,,,,"384,716,227",221.0,151990.0,64,42.0,658517.0,47.0,31032977.0,23005.0,1516649.0,,,0
What's Love Got to Do with It - 2023 Remaster,What's Love Got to Do with It (30th Anniversary Deluxe Edition),Tina Turner,2024-04-26,GBAYE2300351,36,230.0,479417905.0,7.0,1519.0,,,,,,,,,,,,,1.0,121250721.0,83632.0,,3692067.0,,0
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,2024-04-12,USUYG1541249,37,226.4,311928522.0,25766.0,180237463.0,96.0,62694868.0,837616.0,,27811667.0,378313942.0,"243,895,569",149.0,,141,58.0,26516005.0,146.0,21453034.0,30180.0,4482348.0,1707213.0,,1
Lose Control,Lose Control,Teddy Swims,2023-06-23,USWB12302315,38,224.1,775135157.0,88239.0,180617454.0,87.0,139180960.0,1504385.0,396560.0,49060857.0,597513595.0,"4,016,801,205",215.0,605841.0,162,133.0,42675181.0,120.0,253538985.0,72429.0,5409388.0,10517831.0,,0
fukumean,fukumean,Gunna,2023-06-15,USAT22306575,39,221.1,759998727.0,188142.0,80392612.0,80.0,94699547.0,1222012.0,1237229.0,311252391.0,3281790327.0,"140,623,676",123.0,265291.0,"4,003",40.0,2225409.0,88.0,64456799.0,20518.0,33130829.0,3945184.0,,1
Dance Monkey,Dance Monkey,Tones And I,2019-05-10,QZES71982312,40,214.5,3071214106.0,375201.0,64901153.0,71.0,3366447481.0,27240268.0,10342366.0,393814740.0,5861939942.0,"2,428,166,573",549.0,573733.0,169,584.0,5749770.0,121.0,373294159.0,844198.0,37430204.0,44842636.0,,0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,2024-05-17,USUM72401994,41,212.8,214237645.0,10871.0,202626837.0,92.0,11033725.0,251373.0,251200.0,71078500.0,443104700.0,"148,058,631",247.0,3400.0,8,67.0,11523335.0,125.0,840442.0,2592.0,1369981.0,285858.0,,0
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,2023-04-08,KRA252300672,42,211.2,170970614.0,27827.0,5784546.0,41.0,22280037.0,334523.0,14348249.0,948225544.0,12196985599.0,,2.0,672.0,,4.0,35737.0,9.0,270610.0,3170.0,,,,1
I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,UKWLG2200055,43,209.6,1658229422.0,262248.0,239957538.0,83.0,466080689.0,4324989.0,728093.0,54258768.0,1051836430.0,"1,425,853,925",285.0,935190.0,"2,487",207.0,6479623.0,168.0,139926990.0,31235.0,8007236.0,10973120.0,,1
Daylight,Daylight,David Kushner,2023-04-14,QZXDB2300005,44,207.0,1126820069.0,177800.0,85255689.0,82.0,274070101.0,3701289.0,2557115.0,285329503.0,2578518632.0,"1,205,538,057",163.0,259255.0,96,77.0,3413707.0,80.0,28924685.0,14634.0,9505098.0,8681350.0,,0
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,2023-09-15,USJ5G2335007,45,206.2,997702304.0,105927.0,92834002.0,86.0,48093111.0,959175.0,3648759.0,857220853.0,5469808282.0,"298,259,422",91.0,36285.0,"2,676",63.0,10874749.0,110.0,6151267.0,9160.0,7980051.0,2682219.0,,0
Please Please Please,Please Please Please,Sabrina Carpenter,2024-06-06,USUM72404101,46,205.7,59314441.0,2572.0,183043096.0,83.0,22374807.0,1026097.0,,188200.0,1200000.0,"110,446,147",199.0,2359.0,2,73.0,13686074.0,98.0,360163.0,758.0,9883.0,47115.0,,1
Houdini,Houdini - Single,Dua Lipa,2023-11-09,GBAHT2301246,47,205.1,493627071.0,45300.0,87874006.0,80.0,150571504.0,1575378.0,93500.0,35970610.0,386610043.0,"3,129,834,452",174.0,564640.0,405,146.0,28246184.0,127.0,25843941.0,3694.0,1991527.0,2389957.0,,0
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,2024-05-02,TCJPA2415647,48,204.4,1655575417.0,9.0,85.0,,,,,,,,,,,,,,,,,,,1
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2023-02-10,GBUM72300969,49,203.6,304929492.0,43923.0,46133083.0,69.0,61986821.0,921044.0,13872768.0,390207653.0,5684815935.0,"19,218,089",78.0,92638.0,822,41.0,3467570.0,36.0,7444354.0,7188.0,,2227494.0,,1
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,USUM71607007,50,203.5,1747093405.0,178114.0,49464650.0,74.0,9537135721.0,61799279.0,799338.0,78304409.0,1143297071.0,"569,548,901",179.0,121234.0,116,145.0,1977014.0,118.0,266603596.0,2359900.0,,19622551.0,,0
